id,country,code,rangking,money,death,doctor
1,Brunei,BRN,N/A,N/A,N/A,N/A
2,Filipina,PHL,2,278,24,4,4,61
3,Indonesia,IDN,1,267,29,7,1,67
4,Kamboja,KHM,2,168,34,6,1,17
5,Laos,LAO,N/A,N/A,N/A,N/A
6,Malaysia,MYS,1,903,8,4,94
7,Myanmar,MMR,3,82,50,7,1,59
8,Singapura,SGP,2,3.334,2,8,7,82
9,Thailand,THA,1,549,9,9,3,07
10,Timor Leste,TLS,N/A,N/A,N/A,N/A
11,Vietnam,VNM,N/A,N/A,N/A,N/A
,Cina,CHN,1,588,11,5,3,5
,Fiji,FJI,1,318,24,4,3,37
,Jepang,JPN,2,3.550,2,9,13,22
,Kiribati,KIR,4,176,57,3,4,41
,Pulau Marshall,MHL,2,634,35,6,3,79
,Mongolia,MNG,2,441,20,4,6,81
,Nauru,NRU,3,616,34,6,7,83
,Selandia Baru,NZL,3,3.743,6,13,43
,Palau,PLW,2,1.365,20,5,6,83
,Papua Nugini,PNG,3,111,52,7,0,57
,Samoa,WSM,1,346,17,6,2,02
,Pulau Solomon,SLB,1,113,22,6,2,09
,Tonga,TON,1,236,17,2,4,4
,Tuvalu,TUV,2,563,27,8,5,79
,Vanuatu,VUT,1,125,28,7,1,8
,Afganistan,AFG,4,156,68,8,0,62
,Bangladesh,BGD,1,83,38,7,0,66
,Bhutan,BTN,2,297,35,1,1,39
,India,IND,3,223,46,2,2,32
,Maladewa,MDV,2,1.313,11,2,7,36
,Nepal,NPL,2,131,38,5,2,59
,Pakistan,PAK,5,127,78,1,1,41
,Sri Langka,LKA,1,310,9,5,3,05